[01-00] "Here lies Erik the Viking, He fights in Valhalla now, Much to his liking."
[D2-04] "Great, just what I need, a mob of angry villagers at my heels. You aren't going to just leave it here are you?"
[D3-04] "And so the Bard with bell in hand, and the smell of horse on his shoes, rushed back to the temple to meet his new lady."
[D4-04] "I'll come back after dark when nobody can see me... Now let's flee from this place."
[D5-04] "Have you retrieved the bell my friend?"
[D6-04] "I was hoping you were just joking about the bell. You Bodbs seem to get a kick out of playing me the fool."
[D7-04] "That is very true, but I'm afraid we do need that bell. Come back when you have it."
[D8-04] "No bell, no babe my friend."
[D9-04] "I see you've returned."
[DA-04] "I see you have quite the knack for stating the obvious."
[DB-04] "Did you bring us the bell?"
[DC-04] "It took quite a bit of doing, and left quite a mess, but here it is."
[DD-04] "That's a nice little horse bell you've got there, but where's the bell we need?"
[DE-04] "What are you talking about?"
[DF-04] "The bell we want is blue, and has a little cow on it."
[E0-04] "That's some information that would have been useful earlier."
[E1-04] "Forgive them my friend, they are quite mischievous by nature."
[E2-04] "Yes, charming.  I will miss them... when they're dead!"
[E3-04] "I'm sure a talk with the princess will soften your anger. We shall summon her now."
[E4-04] "It had better work this time."
[E5-04] "I was hoping you would come, my valiant rescuer."
[E6-04] "Let's not get ahead of ourselves. What is in this for me?"
[E7-04] "A straight-to-the-point kind of man. Impressive. What do you get for freeing me? Well, you'll get me, riches beyond your wildest dreams, my kingdom at your feet, and me."
[E8-04] "You said \"me\" twice."
[E9-04] "Anything worth having is worth repeating."
[EA-04] "Good point. So are you going to give me directions, or are we just going to stand here desiring each other?"
[EB-04] "Let's not get ahead of ourselves."
[EC-04] "Touché."
[ED-04] "There is something you will need to obtain before you can free me."
[EE-04] "This just keeps getting better and better. And what do I need, other than a mental examination?"
[EF-04] "In the forest around Highland Park, there is a Trow who possesses a magical lute which you will need in order to rescue me. They are a stubborn and evil bunch, but you should be able to outwit them. Once you have obtained the instrument, return here and I will give you further instructions."
[F0-04] "Like what? Go out and slay a few dragons and capture moonbeams in a jar?  How about this?  Let's call this whole thing off.  If I wanted a run-around with a Trow, I would have married the farmer's daughter."
[F1-04] "There's no bluffing me Bard. I have the power to see into your mind.  I want you to take those images in your head right now, think of having them thrice daily, and then rethink if you'd like to help me."
[F2-04] "Well?"
[F3-04] "So where is this park exactly?"
[F4-04] "My devoted servants will show you. Good luck my friend, and return here once you have the lute."
[F5-04] "So what was that image in your head?"
[F6-04] "None of your business."
[F7-04] "Wait... let me guess. You don't have a key to this gate and I have to defeat some wizard on a mountaintop somewhere to get it. Right?"
[F8-04] "My goodness, where do you get such ideas?  I have the key right here."
[F9-04] "A first time for everything. Of course now I have to spoil this moment by asking why are these gates locked in the first place?"
[FA-04] "This used to be a wonderful park where the town would gather to play games and share food.  It was overrun by Kunal Trow, so we keep it locked for the town's safety."
[FB-04] "Leave it to a Kunal Trow to spoil a picnic."
[FC-04] "If you were another of those chosen ones looks like the only thing you'd have been chosen for is lunch. I'm guessing you don't mind if I borrow this armor, though it doesn't seem to do much good against wolves."
[FD-04] "Welcome back. Have you obtained the magical lute?"
[FE-04] "Not exactly."
[FF-04] "Come back when the answer is yes."
[00-05] "I was beginning to wonder if you survived the Trow."
[01-05] "What you should be wondering is if they survived me."
[02-05] "You've got the lute?"
[03-05] "And now, if you don't mind, I'm ready to collect my prize."
[04-05] "Very well. Let us call the princess."
[05-05] "You guys should really take this show on the road."
[06-05] "She learns fast."
[07-05] "If there was any doubt in my heart that you were the man to fulfill my dreams, it's now vanished."
[08-05] "You fulfill my pockets, and then we'll talk about your dreams."
[09-05] "As you wish, my great warrior."
[0A-05] "Told you she learns fast."
[0B-05] "Soon we shall be together, and I'll show you my gratitude. You must first go to the ancient tower east of Kirkwall."
[0C-05] "No, no, no, I've fallen for this one before.  A tower, or THE tower?"
[0D-05] "My captors are very clever, and there are three towers that seal my fate.  Why do you think I had to seek out a man of your intelligence and strength?  We will be together soon, I promise you that."
[0E-05] "Very well."
[0F-05] "Go to the entrance of the tower. To get inside, you must play a tune on that lute I had you acquire, any tune will do to open the door. From there, you may encounter some resistance."
[10-05] "I'm sure more than some."
[11-05] "When you reach the top, you must defeat the tower's guardian. The guardians power the flames that light each tower with their life essence. Once defeated the power of the guardian will be broken. With the guardian vanquished I will be able to visit you atop the tower with further instructions."
[12-05] "I better get something out of this soon, because your credit is already over extended."
[13-05] "Believe me, once I'm doing what I'm longing to do, you'll be more than satisifed."
[14-05] "I very much doubt that."
[15-05] "If only you knew how willing I am to prove you wrong. Good-bye for now my love."
[16-05] "I'm sorry, you have obviously wandered into what you believed to be the local tavern. That is down the street."
[17-05] "If you are looking for items to purchase my friend, merchandise for the less fortunate are available from a peddler at the end of town."
[18-05] "Oh hello. The merchant handing out charity for the poor is the next door down."
[19-05] "Oh yes, a dirk. How quaint. Not much protection, but it will fit within your means I suppose. I could let you have it for a pittance, well a maybe not a pittance to you."
[1A-05] "I suppose we need to sell these to someone. This won't do you much good, but one can afford what one can afford."
[1B-05] "Ah, that would be a flail, my economically challenged friend. Simple, non-elegant, and packs quite the wallop. It might be on the steep end for you, but maybe you can borrow the money from friends. Not that you have any friends of course."
[1C-05] "Nice purchase. Good to see you making an effort to get off of the bottom rung of society. Just try not to hit yourself in the head with it."
[1D-05] "I see you've found the claymore. Beautiful isn't it. I suppose it's Ok for you to admire... from a distance. A very powerful two-handed sword, elegantly decorated. It hardly fits your attire, and your purse even less I'm sure."
[1E-05] "I'm impressed. Who would have imagined you could afford something that didn't come off of the bargain rack."
[1F-05] "Oh the standard longbow is a very appropriate choice for someone of your means. I'm afraid its quality is a lot like your financial situation... a little lacking."
[20-05] "Very practical choice. Yes, if I lived in poverty this would be my choice as well.  I'm just speculating of course."
[21-05] "Very nice, very accurate, very powerful, and most likely very unobtainable for a man in your position.  It costs nothing to dream however, but it will cost you some silver to actually purchase."
[22-05] "It must have been very difficult to give up your life savings, but if this saves your life, I suppose it's worth it... on the other hand I may be overvaluing your life, that is a very nice bow."
[23-05] "Made of wood from the oldest tree in the forests right here in Kirkwall this extraordinary bow can penetrate most armor quite easily.  Not that there's any reason to waste my breath, I'm sure you can't afford it. And I should mention the price of thievery in this town is your life."
[24-05] "Please accept my humblest apologies. I have heard of this, royalty disguising themselves as poverty-ridden scoundrels to study their subjects more closely."
[25-05] "This armor would be appropriate for you. It's a little behind the times, isn't of the highest quality, and well it's a little on the ugly side. Yes, a perfect match."
[26-05] "Good choice. Now why don't you just go and lay in a gutter or whatever you were doing before you came in."
[27-05] "This Studded Leather Armor might even make you look good. It will cost more than you can afford of course but if you wore this, people might actually take you seriously."
[28-05] "That part about taking you more seriously was just a little fib on my part, I still think you're scum."
[29-05] "This Chain Mail is the best armor money can buy, and more than your money can buy I'm afraid. More than you need anyway, unless of course you're on some sort of quest to save the world. But seriously, this would cost you a lot more than you have. I'd be quite shocked if you could even count that high."
[2A-05] "Whoever you robbed to get this money is certain to be awfully angry. Good luck."
[2B-05] "Oh, I didn't even know I had any of those left.  A quaint little wooden shield.  I've been using them for firewood, and even for that they don't serve much use."
[2C-05] "I admire a man who realizes the value of his own life. I'm actually kind of sorry to see it go with the nights getting colder."
[2D-05] "This Targ Shield may be a little pricey for you, we do have cheaper models."
[2E-05] "Good to see you value your life more than most people would."
[2F-05] "This Instrument is very used, a little dinged up, and really not very good too look at. You may actually be able to afford it. We don't normally carry items like this so I will be happy to get rid of it... And hopefully you as well."
[30-05] "Excellent. It looks much better on you than it does in my shop. Now get out."
[31-05] "Welcome to Kirkwall. Care to buy me a drink... I mean make a donation?"
[33-05] "Life had changed quite dramatically in the town since his last visit. It was as if the gates of hell had been opened, leaving The Bard to find the man who might hold the key to shutting them once again."
[34-05] "Bodb, what the hell happened here?"
[35-05] "Some idiot spilled the blood of an animal in the ring of the Nuckelavee. With the ring desecrated the Nuckelavee has risen to spread death and destruction."
[36-05] "Idiot might be a bit strong."
[37-05] "Not strong enough if you ask me."
[38-05] "We'll agree to disagree on that one."
[39-05] "I don't think you understand! The Nuckelavee is the harbinger of doom, that lackwit has doomed us all.  We must leave town immediately if we hope to survive."
[3A-05] "Exactly what I was thinking. Caleigh said something about a Mountain Pass leading to the Tower?"
[3B-05] "Oh, the Pass. We'll never make it through this time of year... Too cold. We might try going through the old Viking Tombs under the mountains, we'll need something from the tombs in any case."
[3C-05] "Viking Tombs?  I don't mean to sound negative, but that does sound rather unpleasant."
[3D-05] "No, trust me...what could go wrong?"
[3E-05] "Bodb?  Don't die until you tell me the location of the Tomb, err... I mean 'till I can get you help."
[3F-05] "The Mountain Pass is...is...blaaah."
[40-05] "I knew it. Perfect, the little twerp goes and dies on me."
[41-05] "Not a nice thing to say to someone on their deathbed."
[42-05] "Sorry."
[43-05] "Now be respectful, I'm trying to help you.  I only have so much life left in me to get out so many words, so I don't think I'm asking too much.  Don't you agree? I'm sure most people would. Glad you understand. Now, the mountain pass is.... Blaaaah."
[44-05] "Ok, that was a little dramatic."
[45-05] "Wait, I'm not done yet. Come closer."
[46-05] "Got it."
[47-05] "What had passed between poor deceased Bodb and the bard was anyone's guess."
[48-05] "He asked me to get my knee off his chest."
[49-05] "Ah."
[4A-05] "Then he told me the location of the mountain pass. I'm on my way."
[4B-05] "So are you dead?"
[4C-05] "Almost."
[4D-05] "Ok, good luck with that."
[4E-05] "The Bard headed to the mountain pass, leaving Bodb to die a slow, painful death."
[4F-05] "Who's gonna notice one less Bodb?"
[36-06] "Ah, the ale.  An effervescent start, with oaky overtones and a crisp finish with a peppery aftertaste.  Goes down smooth an' burns like hell on the way back up."
[37-06] "Bugbear's brew?  We just got it today.  It comes from Houton.  The Brewer's a randy old bugger; used to work here but I had to get rid of him, he kept feeling up the barmaids behind my back."
[A3-0A] "Finstown has been revealed on the World Map."
[CA-0A] "Look who it is Sean, it's the Bard!"
[CB-0A] "You're the hero of Finstown Bard!"
[CC-0A] "Certainly! You remember Finstown right? Why there's a big reward just waiting for you."
[CD-0A] "Please pardon my brother he often lacks manners. Just head over to Finstown and they are bound to give you your reward. The good people have been dying to see you again."
[CE-0A] "Very good. We'll... notify them that you're on your way. Let's be on our way brother..."
[CF-0A] "The Bard? I don't know any... ohhh the Bard."
[D0-0A] "Do you know us? You don't remember Finstown?"
[D1-0A] "Never been there? Why you..."
[D2-0A] "He is?"
[D3-0A] "You do?"
[D4-0A] "Do I know you two?"
[D5-0A] "Finstown you say? Can't say that I've ever been there."
[D6-0A] "I am?"
[D7-0A] "Oh you mean Finstown! Of course, of course... sorry I get that Hero bit a lot you know."
[D8-0A] "Of course, I'll head over there when I'm able."
[DE-0A] "Magic Bell"
[B9-0C] "Bloody idiot bard... Make me come out here... Middle of the night... Bloody rain..."
[BA-0C] "Yeah, I think you've wasted enough of both of our time. Why don't you go and recruit some idealistic young orphan to do it? They're pretty gullible."
[BB-0C] "Rich? How rich are we talking?"
[BC-0C] "The barest portion of her wealth could buy Dounby a hundred times over."
[BD-0C] "Not bad. And you said she's beautiful as well?"
[BE-0C] "The fairest in all the land."
[BF-0C] "You tempt me... but still..."
[C0-0C] "Prove it."
[C1-0C] "Let me do something to allay any doubts you might have. You can speak with the Princess directly."
[C2-0C] "How is that possible? If she's locked in a tower..."
[C3-0C] "I have my ways, just give her a chance to speak with you herself. She can be very... persuasive."
[C4-0C] "I expect to be well compensated for my time."
[C5-0C] "You will be my friend... you will be."
[C6-0C] "Errr... Ummm... prove it?"
[C7-0C] "Yes, prove it. If she's rich, then hand over some coin on her behalf. And if she's so bloody beautiful, then show her to me. If you can do neither of these things, then I'll be on my way."
[C8-0C] "Wait! I can show you the princess... give you a chance to see her. As for payment... is this sufficient?"
[C9-0C] "That should do... for now. I warn you though, if you are playing me false, I'll take it out of your hide."
[CA-0C] "No need for that... follow me. The Princess will convince you. I'm sure of it."
[CB-0C] "You beat him senseless! That was wonderful Conner! I never realized how... manly you were. Let's forget this loser and go someplace quiet!"
[CC-0C] "I hope nobody important saw that."
[CD-0C] "There he is Conner! There's the man who insulted my honor!"
[CE-0C] "I think you meant to say lies with... which is funny because I heard..."
[CF-0C] "Enough out of you!"
[D0-0C] "Ready to clean my boots with your face again?"
[D1-0C] "I'll do for you this time!"
[DA-0C] "Everything is currently out of stock, please leave."
[DB-0C] "Come back when you have money!"
[DC-0C] "As I thought!"
[DD-0C] "If you need money why don't you go waylay some kunal trow and steal their pants! That seems like your style."
[DE-0C] "We sell only the finest melee weapons here, much to expensive for you."
[DF-0C] "Bows? You couldn't even afford the string."
[E0-0C] "You want armor? You do realize that we don't sell on credit here?"
[E1-0C] "There's a shop in Houton that you might be able to afford."
[F2-0C] "Blessings upon you."
[F3-0C] "You've been good with your donations. I've a gift for you."
[F4-0C] "Welcome back. Care to make a donation?"
[2F-0D] "The Forest tower has been revealed on the World Map."
[30-0D] "The Mountain Pass has been revealed on the World Map."
[34-0D] "Temple"
[3D-0D] "She's not my lady."
[42-0E] "Meanwhile back in Kirkwall one of the Bard's past errors would come back to haunt him."
[80-0E] "So what'll it be?"
[81-0E] "What'll you be havin' today?"
[82-0E] "Ah this is one helluva stout. A strong rich malty flavor with a hint of hops. Goes down nice and creamy and leaves ya a bit o' foam in the mug to remember it by."
[83-0E] "Is it a beer? A whiskey? A wine? To tell you the truth I'm not sure. But I can tell you that if your feeling a bit o' luck you can't go wrong with this one."
[87-0E] "Come again."
[88-0E] "We'll see you next time."
[DC-0E] "Before I head into mortal danger, I just have to ask... what's with all of the missing limbs?"
[DD-0E] "Oh well at one time or another we've all tried to rescue the princess, this is about as far as we've gotten. I'm sure you'll fare much better, we sent one of our brothers in a few days ago, keep an eye out for him and he'll be sure to help you... If he's still alive that is."
[DE-0E] "That's so reassuring."
[DF-0E] "Good luck!"
[E0-0E] "I'm looking for a man named Bodb. Have you seen him?"
[E1-0E] "Hahahahaha."
[E2-0E] "Bodb? You're looking for Bodb? Look everyone it's another Chosen One!"
[E3-0E] "Oh I've seen \"him\" alright."
[E4-0E] "You poor poor man."
[E5-0E] "Oh you'll find one around here somewhere. Just keep looking."
[E6-0E] "I truly pity you. Good luck."
[E7-0E] "Hahahahaha."
[4D-12] "Go away!"
[4E-12] "Off with you!"
[4F-12] "You think you can hit me laddie?"
[50-12] "Hahahahaha!"
[51-12] "You couldn't hit the broadside of a broch!"
[52-12] "Too fast for you?"
[53-12] "The old Farmer was surprisingly spry for someone of his advanced years. Or was it just that the Bard was a horrible shot?"
[5B-13] "I thought we told them not to send any more weaklings... Oh alright follow me."
[5C-13] "We're supposed to make certain you're up for the challenge... But I give up! Follow me."
[6E-14] "It never seemed to occur to the Bard that knocking the piss out of  Conner would fail to solve his current problem."
[6F-14] "I suggest a new strategy. Let Conner win."
[75-14] "The Bard needed to find a way to make the Farmers' Daughter happy and forget about him at the same time. Perhaps seeking out her former betrothed would be of help."
[78-14] "Ornery Old Horse"
[B7-14] ""
[BE-14] ""
[D2-14] ""
[D3-14] ""
[D4-14] ""
[D5-14] ""
[DF-14] "Oh, it's bad luck to be you.  A chosen one of many isn't new.  When you think you're full of luck in the bullocks you'll get struck.  Oh, it's bad luck to be you.  The wolves over yonder packed a punch. So listen carefully to our hunch.  To be the Chosen One, really sounds like loads of fun, but in the end you'll just be someone's lunch.  Oh, it's bad luck to be you.  The prophecy is never coming true.  In a pickle you'll be stuck, like a chicken you will cluck.  Oh, It's bad luck to be you.  Your mourning for this boy was very brief. You certainly did not show any grief.  You pillaged his cadaver, but to you it didn't matter!  You're nothing but a two-bit common thief.  Oh, it's bad luck to be you.  Don't think for just a second it's not true.  When your life is run amuck you will see that you're the schmuck.  Oh, it's bad luck to be, really bad luck to be, nobody could disagree, it's a freakin' guarantee, it's bad luck to be you!  Diddly doo."
[46-15] ""
[93-15] "The Bard had come to Kirkwall in search of the man named Bodb. Just reminding him in case he had forgotten, which of course would never happen."
[94-15] "Somewhere near Finn's Farm the Bard had to find the Horse which carried the Bell he very much needed to lay hands on."
[95-15] "Word around Kirkwall was that Conner could frequently be found in the local bar. No doubt being betrothed to Finn's Daughter would drive any man to drink."
[36-17] "Ha ha haa ha haa ha"
