[00-00] "!MissingString!"
[3F-0F] "Try Bonetti's defense."
[40-0F] "Your savior is here!"
[41-0F] "Need me again? I thought so."
[42-0F] "Don't put me away you..."
[43-0F] "...Oh Nuckelavee Nuckelavee big an scary and heinous whoever it be that set you free..."
[44-0F] "Dead Bard's tell no tales!"
[45-0F] "Nugget"
[46-0F] "Swap Hot Keys"
[47-0F] "Toggle Hot Keys"
[48-0F] "You'll notice that this dungeon has no windows and no doors..."
[49-0F] "Hold on a minute. Yes it does."
[4A-0F] "What? I don't see any."
[4B-0F] "That's because you've got no eyes!"
[4C-0F] "Thanks for pointing that out... talk about kicking a mouth when he's down."
[4D-0F] "There once was a Bard from Houton who was venturing towards a mountain on his way through the pass he slipped on his arse and his head shot blood like a fountain"
[4E-0F] "The blood moon will rise from westerly skies and undead will start to moan they'll be no surprise when a chosen one dies who ventured too far, all alone"
[4F-0F] "I sing a happy tune when valor leads the way there is no cause for fear for strong virtues never fray but woefully I croon I cannot sing of mirth It's lust and greed that's in your heart and will bury you in the earth"
[50-0F] "What is that I hear the feet of a chosen one? Coming oh so near does he know he's not near done? Unless of course he meets an untimely end then soon I hear the feets of another round the bend"
[51-0F] "I want a drink that's good on the lips that doesn't stick around on my hips it's got to be brown and malty too fill up my stein with Bugbears Light Brew. Bugbears Light Brew available in the finest taverns near you."
[52-0F] "What the hell was that supposed to be?"
[53-0F] "It's a little something I came up with, I call it a \"jingle\" I think it's going to be a great way for people to advertise their products."
[54-0F] "Hmm, I'm sort of an expert on music you know... I don't think it'll ever catch on."
[55-0F] "I'll be right on over sir."
[56-0F] "I'll meet them head on!"
[57-0F] "Got you covered sir!"
[58-0F] "I'll just be right here if you need me."
[59-0F] "I'm here to serve."
[5A-0F] "I'll protect you!"
[5B-0F] "I'll watch your back sir!"
[5C-0F] "Hey you, why don't you try hitting me?"
[5D-0F] "Over here! I'm right here!"
[5E-0F] "What are you waiting for? Kill me!"
[5F-0F] "Kill me, I'm right here!"
[60-0F] "Haha! Can't hit me!"
[61-0F] "Over here!"
[62-0F] "Sorry about that."
[63-0F] "No offense."
[64-0F] "Pardon me."
[65-0F] "Ow! That kinda hurt."
[66-0F] "You missed! Oh, no wait you didn't."
[67-0F] "I can take it!"
[68-0F] "Ouch!"
[69-0F] "You could try dodging occasionally, it might hurt less."
[6A-0F] "Where would be the fun in that."
[6B-0F] "Good point."
[6C-0F] "Sorry..."
[6D-0F] "I failed you..."
[6E-0F] "That one...really hurt..."
[6F-0F] ""
[70-0F] ""
[71-0F] "Coming."
[72-0F] "Faster!"
[73-0F] "I'll slow down if I can."
[74-0F] "In position."
[75-0F] "Time to play?"
[76-0F] "Ready for some action!"
[77-0F] "Did you miss me?"
[78-0F] "Over here!"
[79-0F] "Think you can handle me?"
[7A-0F] "I've got something for you."
[7B-0F] "Just a little closer."
[7C-0F] "Come to mama!"
[7D-0F] "On your knees!"
[7E-0F] "Too easy."
[7F-0F] "Does it hurt?"
[80-0F] "Not fast enough!"
[81-0F] "Too slow!"
[82-0F] "Did you blink?"
[83-0F] "Your voice is quite nice, how about we get a peek at what's underneath that armor?"
[84-0F] "Milady no! T'would not be proper!"
[85-0F] "Who cares about being proper when you can have some fun?"
[86-0F] "Tis the code by which I live."
[87-0F] "What a pity."
[88-0F] "Hey beautiful how you doin?"
[89-0F] "You're a handsome devil, how'd you like to go someplace secluded, just you... and me."
[8A-0F] "Are you joking?"
[8B-0F] "Of course not, lets go right now."
[8C-0F] "Are you joking? Hell yes!"
[8D-0F] "Well... actually I am joking."
[8E-0F] "I knew it was too good to be true."
[8F-0F] "Not fast enough..."
[90-0F] "Not...yet..."
[91-0F] "Going down..."
[92-0F] ""
[93-0F] ""
[94-0F] "Who needs a good kicking?"
[95-0F] "Did you summon me?"
[96-0F] "Alright I'm here!"
[97-0F] "You aren't so big!"
[98-0F] "The bigger they are..."
[99-0F] "Shocking isn't it?"
[9A-0F] "Hey big guy watch where you're stepping and you better not hit me with any of those bloody rocks either! What do we need this lumbering beast for anyways?  I fight alone, and I don't need a lummox like this guy helping me."
[9B-0F] "What? Me not understand? Little man want to fight me? Me not want to fight friends!"
[9C-0F] "Oh yeah?  What you don't think I can take you? Try me big guy I'll pummel you into the ground, I'm warning you!"
[9D-0F] "Me confused!"
[9E-0F] "Hey, back off a bit tiny.  Save it for the bad guys."
[9F-0F] "Better stay away from my lightning rods tin man, they'd fry you inside out with all that metal you're wearing. You're lucky to be on my side, I'd make short work of you for sure."
[A0-0F] "Good jest... Peasant!"
[A1-0F] "What? You think I'm joking? You think I'm some kind of jester here for your amusement? Like I amuse you?"
[A2-0F] "That is what I said."
[A3-0F] "Hey break it up, break it up. We're all on the same side here remember?"
[A4-0F] "Not so big..."
[A5-0F] "I'll get you next time..."
[A6-0F] "You got lucky..."
[A7-0F] ""
[A8-0F] ""
[A9-0F] ""
[AA-0F] ""
[AB-0F] ""
[AC-0F] ""
[AD-0F] ""
[AE-0F] ""
[AF-0F] ""
[B0-0F] ""
[B1-0F] ""
[B2-0F] ""
[B3-0F] ""
[B4-0F] ""
[B5-0F] ""
[B6-0F] ""
[B7-0F] ""
[B8-0F] ""
[B9-0F] ""
[BA-0F] ""
[BB-0F] ""
[BC-0F] ""
[BD-0F] ""
[BE-0F] ""
[BF-0F] ""
[C0-0F] ""
[C1-0F] ""
[C2-0F] ""
[C3-0F] ""
[C4-0F] ""
[C5-0F] ""
[C6-0F] ""
[C7-0F] ""
[C8-0F] ""
[C9-0F] ""
[CA-0F] ""
[CB-0F] ""
[CC-0F] ""
[CD-0F] ""
[CE-0F] ""
[CF-0F] ""
[D0-0F] ""
[D1-0F] ""
[D2-0F] ""
[D3-0F] "In a moment my pretty."
[D4-0F] "I'll take care of things."
[D5-0F] "Right behind you dearie."
[D6-0F] "I'll stay right here."
[D7-0F] "Hahahahaha"
[D8-0F] "Somebody in need of healing?"
[D9-0F] "I'll put a spell on you."
[DA-0F] "Succor!"
[DB-0F] "Healing!"
[DC-0F] "Be healed!"
[DD-0F] "Slow down there."
[DE-0F] "Let's not be hasty."
[DF-0F] "Too much eye of newt in that one."
[E0-0F] "Eeeek!  A rat! Disgusting! Get him away."
[E1-0F] "He's much more afraid of you than you are of him.  That also goes for me by the way."
[E2-0F] "Oh it's that disgusting rodent again. Will you protect me?"
[E3-0F] "Hell, I was hoping he would protect me from you. And what's the problem with that rat anyways? Aren't you supposed to be some kind of a witch?"
[E4-0F] "What, witches can't be afraid of rats? Just cause we dabble in the dark arts doesn't mean we have to cuddle up with the little beady eyed scum... present company excluded of course my dear."
[E5-0F] "Why is this rat necessary?  It sends shivers up my spine."
[E6-0F] "Well, now you know how I feel when I look at you."
[E7-0F] "Have you no scruples my son?  A witch may not set foot on sacred ground. Away with ye foul crone!"
[E8-0F] "Well I seem to be setting foot here just fine so far."
[E9-0F] "No need to worry... she's not as wicked as she appears."
[EA-0F] "Indeed... Nobody could be that bad. I'll pray for you both."
[EB-0F] "I'm melting!"
[EC-0F] "What a world..."
[ED-0F] ""
[EE-0F] ""
[EF-0F] ""
[F0-0F] "If I must."
[F1-0F] "Enchanting!"
[F2-0F] "Exercising caution."
[F3-0F] "I await further instruction."
[F4-0F] "I offer up my services."
[F5-0F] "Behold my glory!"
[F6-0F] "You need my help."
[F7-0F] "Tempus retexo!"
[F8-0F] "Mortis temporalis!"
[F9-0F] "We've no time for death!"
[FA-0F] "Venus incanto!"
[FB-0F] "Frater adigo!"
[FC-0F] "I knew you'd see things my way."
[FD-0F] "You should cover yourself woman! Have you no shame? There are men of low character present."
[FE-0F] "I like men of low character, the lower the character the better if you take my meaning."
[FF-0F] "Scandalous!"
[00-10] "The indignity..."
[01-10] "Bad form..."
[02-10] "Dirty peasants..."
[03-10] ""
[04-10] ""
[05-10] "Be right there Maestro."
[06-10] "Illuminating!"
[07-10] "Dimming."
[08-10] "Taking a breather!"
[09-10] "Let there be light!"
[0A-10] "Someone need a light?"
[0B-10] "Lost in the dark?"
[0C-10] "I'll light the way."
[0D-10] "Lighten up!"
[0E-10] "Bam!"
[0F-10] "Told you not to look!"
[10-10] "That'll teach you to make light of me!"
[11-10] "So dark..."
[12-10] "Turn out the lights..."
[13-10] "I'm hit..."
[14-10] ""
[15-10] ""
[16-10] "Reporting for duty!"
[17-10] "I stand ready!"
[18-10] "For King and country!"
[19-10] "Have at thee fiend!"
[1A-10] "Thou art found wanting!"
[1B-10] "To hell with thee blackguard!"
[1C-10] "I have taken my measure of thee!"
[1D-10] "Thou have been served!"
[1E-10] "Ach no need for yon puny peasant mercenary now that a proper and honorable warrior of my rank is present."
[1F-10] "Speak for yourself you big ogre, good things come in small packages.  Just ask the lassies."
[20-10] "No true lady would have anything to do with thee or thy small package."
[21-10] "He does have a point. Now shut your gobholes the both of you!"
[22-10] "Milady these be dangerous times for one of the fairer sex such as thyself. Be not fearful, stay by mine side and I shall strive to keep thee from harm's way."
[23-10] "Oh be still my heart, whatever would I do without you? I can take care of myself buckethead, I sure as hell don't need the likes of you to protect me."
[24-10] "Thou art most unwomanly, thou dost speak like a man!"
[25-10] "One of us probably should, don't you think?"
[26-10] "Zounds!  A foul beast from the darkest pits of hell!  Stand aside whilst I slay it!"
[27-10] "Hey, knock it off!  I summoned that foul beast you buffoon!"
[28-10] "But it be so wretched. Mayhap I could just run it through quickly?"
[29-10] "You know, you have some serious issues."
[2A-10] "Repent thy evil ways, give up thine blasphemous practices and there may yet be salvation for thee witch."
[2B-10] "Evil practices? I heal the sick, why does everyone keep calling me evil, now if you want to save someone, keep an eye on our good friend the Bard here."
[2C-10] "Aye, normally I would, but he doth seem like such a lost cause."
[2D-10] "Hah you don't know the half of it why you should have been with him earlier on this journey..."
[2E-10] "I don't believe I asked to be dragged into this."
[2F-10] "Neither did we!"
[30-10] "Neither did we!"
[31-10] "I go to glory..."
[32-10] "A mortal wound..."
[33-10] "I shall return..."
[34-10] ""
[35-10] ""
[36-10] "No need to raise yer voice, be right there!"
[37-10] "Attack!"
[38-10] "Aye, I gotcher back."
[39-10] "Holding."
[3A-10] "Ready to scrap!"
[3B-10] "Who's head needs crackin'?"
[3C-10] "Time to get paid."
[3D-10] "And stay down!"
[3E-10] "Haha another one down."
[3F-10] "Bard, yer gonna owe me a fortune for this!"
[40-10] "I'm the best there is at what I do!"
[41-10] "Oh yes.  Well hello lass.  Ever done the rounds with a real specimen of a man?"
[42-10] "Can't say that I have. If you see one let me know."
[43-10] "Well roll me over and make me bark. What can I do for you my beautiful flower?"
[44-10] "How about just roll over and play dead?"
[45-10] "Oh... um... Well aren't you the most... I must say that you are...  How about you and I...  Hell, I need a drink... or ten."
[46-10] "You're one to talk!"
[47-10] "Well helo there. How about you and I go somewhere private and discuss the finer points of me?"
[48-10] "Does anyone have some soap and water? I suddenly feel the need to cleanse myself."
[49-10] "Ah lass yer a vision of loveliness. Do you believe in love at first sight or should I walk by again?"
[4A-10] "Hoi, I'm Mr. Right. Someone said you were looking for me."
[4B-10] "I'm fighting the urge to make you the happiest woman on earth tonight."
[4C-10] "If I follow you home, will you consider keeping me?"
[4D-10] "Is yer father a baker? 'Cause that's a nice set of buns. Har har."
[4E-10] "Are your legs tired? because you've been running through my dreams all night."
[4F-10] "Do you know what would look good on you lass?...ME!"
[50-10] "Well piss off greasybeard!"
[51-10] "Just keep walkin ye ugly little man."
[52-10] "Not if you were the last man breathin'!"
[53-10] "Shove off cherry popper."
[54-10] "Out of my way ya small malinky little beastie!"
[55-10] "Hmmmph!"
[56-10] "Don't even think about touchin me, I'll grab you from behind and make you wish you weren't born!"
[57-10] "Piss off you great fat cow!"
[58-10] "Just keep walkin ye ugly little man."
[59-10] "Not if you were the last man alive!"
[5A-10] "Shove off, monkey nuts."
[5B-10] "Out of my way ye great hairy beastie!"
[5C-10] "Hmmmph!"
[5D-10] "Don't even think about touchin me!"
[5E-10] "They got me!"
[5F-10] "Never saw it coming..."
[60-10] "Just my luck..."
[61-10] ""
[62-10] ""
[63-10] ""
[64-10] ""
[65-10] ""
[66-10] ""
[67-10] ""
[68-10] ""
[69-10] ""
[6A-10] ""
[6B-10] ""
[6C-10] ""
[6D-10] ""
[6E-10] ""
[6F-10] ""
[70-10] ""
[71-10] "On the move!"
[72-10] "Taking Aim!"
[73-10] "Advancing with caution."
[74-10] "Standing my ground."
[75-10] "Need my help?"
[76-10] "Show me the target."
[77-10] "Reporting for duty!"
[78-10] "You're a little soft aren't you?"
[79-10] "Bullseye!"
[7A-10] "Did that with my eyes closed."
[7B-10] "All too easy."
[7C-10] "No fair..."
[7D-10] "Next time..."
[7E-10] "Lucky shot..."
[7F-10] ""
[80-10] ""
[81-10] "Whatever you say."
[82-10] "I'll get 'em!"
[83-10] "Me behind you boss."
[84-10] "Me stay here."
[85-10] "Where am I?"
[86-10] "Need me?"
[87-10] "Got rocks?"
[88-10] "Rocks are friends!"
[89-10] "Go away!"
[8A-10] "Smash!"
[8B-10] "A puppy!  Come here cute little puppy, me take good care of you. Why puppy run away, come back!"
[8C-10] "Puppy! Look at the cute puppy! Come here, me take good care of you. Why you run away, come back puppy!"
[8D-10] "A puppy!  Come here cute little puppy, me take good care of you. Why puppy run away, come back!"
[8E-10] "Are you blind?  That's no puppy... it's a... well I'm not quite sure what it is exactly but it's no puppy."
[8F-10] "Puppy!"
[90-10] "Errr...ok whatever you say big guy."
[91-10] "Don't feel so good..."
[92-10] "Bard..."
[93-10] "Tell me about the puppies..."
[94-10] ""
[95-10] ""
[96-10] ""
[97-10] ""
[98-10] ""
[99-10] ""
[9A-10] ""
[9B-10] ""
[9C-10] ""
[9D-10] ""
[9E-10] ""
[9F-10] ""
[A0-10] ""
[A1-10] ""
[A2-10] "I can see you aren't going to be much of a watchdog.  If you're running from something that small, prepare yourself for a rude awakening if you ever go into any of the taverns around here."
[A3-10] "Ready to explore."
[A4-10] "You got a problem laddie?"
[A5-10] "I'm here."
[A6-10] "Look I found something!"
[A7-10] "Ahhh a secret door! They just don't make em like used to."
[A8-10] "Hey Bard over here!"
[A9-10] "Traps! Right over here!"
[AA-10] "I smell a trap!"
[AB-10] "Careful laddie there's a trap!"
[AC-10] "So good to be back.  I can't wait to experience excruciating pain again."
[AD-10] "Seeing me in pain has become a hobby of yours, hasn't it?"
[AE-10] "You show no mercy for an old man in pain. In my day, the only mercy we'd show the likes of you... well... we wouldn't show any mercy to the likes of you."
[AF-10] "Ha!  Now that was enjoyable, seeing you getting a taste of my medicine."
[B0-10] "Doesn't feel good, does it young man?"
[B1-10] "Now you know how I feel laddie."
[B2-10] "I can't tell you how much I hope that hurt."
[B3-10] "Well would you look at that?"
[B4-10] "Well here's something worth having."
[B5-10] "Woohoo I've still got it!"
[B6-10] "Another priceless treasure for you lad."
[B7-10] "Why are we even bothering with this?"
[B8-10] "Not even worth the effort!"
[B9-10] "Bah! Just a bit of junk!"
[BA-10] "Worthless!"
[BB-10] "It's my lot in life..."
[BC-10] "Not again..."
[BD-10] "Almost made it..."
[BE-10] ""
[BF-10] ""
[C0-10] ""
[C1-10] ""
[C2-10] ""
[C3-10] ""
[C4-10] ""
[C5-10] ""
[C6-10] ""
[C7-10] ""
[C8-10] ""
[C9-10] "Death to the living!"
[CA-10] "Cut them down!"
[CB-10] "We feast!"
[CC-10] "Raarrrr!"
[CD-10] ""
[CE-10] "So cold..."
[CF-10] ""
[D0-10] "Hel take you!"
[D1-10] "I Hunger!"
[D2-10] ""
[D3-10] "Must. Stop. Trap."
[D4-10] "You must be stopped!"
[D5-10] "Kill him!"
[D6-10] "Forward Brothers!"
[D7-10] "For Fionnaoch!"
[D8-10] "Death to the Bard!"
[D9-10] ""
[DA-10] "Brothers...avenge me..."
[DB-10] "The circle... is... now complete."
[DC-10] "I die..."
[DD-10] ""
[DE-10] "Victory!"
[DF-10] "We triumph!"
[E0-10] "Death to the Bard!"
[E1-10] "Draoi Fead!"
[E2-10] "Draoi Spraidh"
[E3-10] "Fas garadh!"
[E4-10] "Teanacadh!"
[E5-10] "Tair Bloinigein!"
[E6-10] ""
[E7-10] ""
[E8-10] ""
[E9-10] ""
[EA-10] ""
[EB-10] ""
[EC-10] ""
[ED-10] ""
[EE-10] ""
[EF-10] "Blatoni stanovnik!"
[F0-10] "Napadamu!"
[F1-10] "Pokvarilji si tvoj zemlja, ti neches da pokvaris nash!"
[F2-10] "Kashika!"
[F3-10] "Ti nechas da prodjas!"
[F4-10] "Umrai!"
[F5-10] "Udar groma!"
[F6-10] "Vatrena lopta!"
[F7-10] "Lekshi kisha!"
[F8-10] "Plimski Smrt!"
[F9-10] "Lek!"
[FA-10] ""
[FB-10] "Moja mala riba che... buda... sirak..."
[FC-10] "Ja umram..."
[FD-10] "Su dobila me!"
[FE-10] "Ja poslam tvoja dusha na morski smrt!"
[FF-10] "Pobedamu!"
[00-11] ""
[01-11] ""
[02-11] ""
[03-11] ""
[04-11] ""
[05-11] ""
[06-11] ""
[07-11] ""
[08-11] ""
[09-11] "Slice them in two!"
[0A-11] "Kill them! Kill them all!"
[0B-11] "Destroy them!"
[0C-11] "Die!"
[0D-11] "Raarrrr!"
[0E-11] "Curses!"
[0F-11] "Chaaarge!"
[10-11] ""
[11-11] "Takes more to stop me!"
[12-11] "Is that all ye've got?"
[13-11] "Impossible..."
[14-11] "Curse you..."
[15-11] "Just a flesh wound..."
[16-11] ""
[17-11] ""
[18-11] "Death!"
[19-11] "Stay down!"
[1A-11] "Enemy sighted!"
[1B-11] "Take no prisoners!"
[1C-11] "For Lugh!"
[1D-11] "For the master!"
[1E-11] ""
[1F-11] "Lugh..."
[20-11] "Master..."
[21-11] ""
[22-11] "For Lugh!"
[23-11] "Praise Lugh!"
[24-11] ""
[25-11] "I smell you."
[26-11] "I will flay you."
[27-11] ""
[28-11] ""
[29-11] ""
[2A-11] "At... last..."
[2B-11] ""
[2C-11] ""
[2D-11] "Yes!"
[2F-11] ""
[30-11] ""
[31-11] ""
[32-11] ""
[33-11] ""
[34-11] ""
[35-11] ""
[36-11] ""
[37-11] ""
[38-11] ""
[39-11] ""
[3A-11] ""
[3B-11] ""
[3C-11] "It's the Bard!"
[3D-11] "Kill that bastard!"
[3E-11] "Shoot the Bard!"
[3F-11] "You're done for Bard!"
[40-11] ""
[41-11] "Noooo....!"
[42-11] "Damn Bard..."
[43-11] ""
[44-11] "How did you like that Bard?"
[45-11] "Vengeance!"
[46-11] "For Finstown!"
[47-11] "Come taste death!"
[48-11] "To battle!"
[49-11] ""
[4A-11] "I'll send you to the next world!"
[4B-11] ""
[4C-11] "I have no fear of you!"
[4D-11] ""
[4E-11] "Valhalla calls..."
[4F-11] ""
[50-11] "It was a good day to die..."
[51-11] "You fight well..."
[52-11] ""
[53-11] "Praise Woden!"
[54-11] "You will all fall!"
[55-11] "For death!"
[56-11] ""
[57-11] ""
[58-11] ""
[59-11] ""
[5A-11] ""
[5B-11] ""
[5C-11] ""
[5D-11] ""
[5E-11] ""
[5F-11] ""
[60-11] ""
[61-11] ""
[62-11] ""
[63-11] ""
[64-11] ""
[65-11] ""
[66-11] ""
[67-11] ""
[68-11] ""
[69-11] ""
[6A-11] ""
[6B-11] ""
[6C-11] ""
[6D-11] ""
[6E-11] ""
[6F-11] ""
[70-11] ""
[71-11] ""
[72-11] ""
[73-11] ""
[74-11] ""
[75-11] ""
[76-11] ""
[77-11] ""
[78-11] ""
[79-11] ""
[7A-11] ""
[7B-11] ""
[7C-11] ""
[7D-11] ""
[7E-11] ""
[7F-11] ""
[80-11] ""
[81-11] ""
[82-11] ""
[83-11] ""
[84-11] ""
[85-11] ""
[86-11] ""
[87-11] ""
[88-11] ""
[89-11] ""
[8A-11] ""
[8B-11] ""
[8C-11] ""
[8D-11] ""
[8E-11] ""
[8F-11] ""
[90-11] ""
[91-11] ""
[92-11] ""
[93-11] ""
[94-11] ""
[95-11] ""
[96-11] ""
[97-11] ""
[98-11] ""
[99-11] ""
[9A-11] ""
[9B-11] ""
[9C-11] ""
[9D-11] ""
[9E-11] ""
[9F-11] "Grrrrr!"
[A0-11] "Raarrrr!"
[A1-11] "Ouch!"
[A2-11] "Hey that hurt!"
[A3-11] ""
[A4-11] "That's right, stay down!"
[A5-11] "Die!"
[A6-11] ""
[A7-11] "Come closer and I'll give you the axe!"
[A8-11] "Rock on!"
[A9-11] "Blunderbuss!"
[AA-11] ""
[AB-11] "Non-triumphant..."
[AC-11] "Don't bring your weak magic in here Bard!"
[AD-11] "Weak."
[AE-11] "Show me what you've got Bard!"
[AF-11] "Take that!"
[B0-11] ""
[B1-11] "Draoi Spraidh!"
[B2-11] ""
[B3-11] "Forgive me master..."
[B4-11] "You're no match for me Bard!"
[B5-11] "Pathetic!"
[B6-11] "I'm gonna beat you senseless!"
[B7-11] ""
[B8-11] "Stand still!"
[B9-11] "Fight like a man!"
[BA-11] ""
[BB-11] "No fair..."
[BC-11] "That'll learn you!"
[BD-11] "You had your chance Bard!"
[BE-11] "Now you'll die!"
[BF-11] ""
[C0-11] "Sguir!"
[C1-11] "Taghairm!"
[C2-11] "Spadhadh!"
[C3-11] ""
[C4-11] "You've made a... mistake..."
[C5-11] "Give up Bard!"
[C6-11] "You can't hope to win!"
[C7-11] "Defeat is inevitable!"
[C8-11] "I'll beat you bloody bard!"
[C9-11] "Stupendous shot!"
[CA-11] ""
[CB-11] "Too slow!"
[CC-11] ""
[CD-11] "A dubious death..."
[CE-11] "Trust in Trow tactics!"
[CF-11] "Down in defeat!"
[D0-11] "Fnarf will finally finish you!"
[D1-11] ""
[D2-11] ""
[D3-11] ""
[D4-11] ""
[D5-11] ""
[D6-11] ""
[D7-11] ""
[D8-11] ""
[D9-11] ""
[DA-11] ""
[DB-11] "I will end your folly here Bard."
[DC-11] "Vines constrict!"
[DD-11] "Decay!"
[DE-11] "Crush!"
[DF-11] "To all things must come an end..."
[E0-11] "Return to the earth."
[E1-11] "Begone!"
[E2-11] "The reaper comes for you!"
[E3-11] "Wodan!"
[E4-11] "Raarrrr!"
[E5-11] ""
[E6-11] "Stand and deliver you scum!"
[E7-11] "Hand over your valuables!"
[E8-11] ""
[E9-11] ""
[EA-11] "Never wanted... To die...in battle..."
[EB-11] "More loot for me!"
[EC-11] "Another victim!"
[ED-11] "I hear coins clinking."
[EE-11] "Think you're man enough to face me Bard?"
[EF-11] "Vae Victus!"
[F0-11] ""
[F1-11] "Munio Chalybeius!"
[F2-11] "Imbris Quiris!"
[F3-11] "Imbris Gladius!"
[F4-11] ""
[F5-11] "Impossible... I'm invincible..."
[F6-11] "Hahaha... you were no match for me!"
[F7-11] "Another victory!"
[F8-11] "I'm the best!"
[F9-11] "You will fall Bard!"
[FA-11] ""
[FB-11] "Die!"
[FC-11] "Draoi Fead!"
[FD-11] ""
[FE-11] "Fionnaoch... save me..."
[FF-11] "All too easy!"
[00-12] "I have you now!"
[01-12] ""
[02-12] "Earth!"
[03-12] ""
[04-12] "Strike!"
[05-12] "Prepare to feel the fury of the heavens!"
[06-12] "Feel my wrath!"
[07-12] ""
[08-12] "I have... failed..."
[09-12] "None can stand against me!"
[0A-12] "All will fall!"
[0B-12] "For ruin!"
[0C-12] "Fresh soulssss!"
[0D-12] "Die!"
[0E-12] ""
[0F-12] ""
[10-12] "Come to me."
[11-12] ""
[12-12] "Aaaaaaarghhh!"
[13-12] "Yesssss!"
[14-12] "I feed!"
[15-12] "Soulssss!"
[16-12] ""
[17-12] ""
[18-12] ""
[19-12] ""
[1A-12] ""
[1B-12] ""
[1C-12] ""
[1D-12] ""
[1E-12] ""
[1F-12] ""
[20-12] ""
[21-12] ""
[22-12] ""
[23-12] ""
[24-12] ""
[25-12] ""
[26-12] ""
[27-12] ""
[28-12] ""
[29-12] ""
[2A-12] "To the death!"
[2B-12] ""
[2C-12] "To the death!"
[2D-12] "Good... fight..."
[2E-12] "Nobody beats Silkbeard you scum!"
[2F-12] ""
[30-12] "Woden!"
[3D-12] "I believe you may have killed the wrong chicken."
[3E-12] "How tough can it be? It's a chicken! I'll eat like a king for weeks!"
[43-12] "I don't really know how to use one of those."
[54-12] "It was right about this time that the Bard began to regret his inability to procure a ranged weapon. Perhaps thoughts of running to the local store and purchasing a bow were passing through his head?"
[58-12] "The stronger the Bard is, the more damage he can inflict with melee weapons."
[59-12] "A high vitality will increase the Bard's health, making him more difficult to defeat in battle."
[5A-12] "Luck has a subtle effect on many aspects of the Bard's adventures."
[5B-12] "A high dexterity allows the Bard to inflict greater damage with ranged weapons."
[5C-12] "Shopkeepers will offer significant discounts to the Bard if he has high charisma."
[5D-12] "Rhythm allows the Bard to play magical tunes with greater skill, enhancing the statistics of summoned creatures."
[5E-12] "The Bard was as weak as a newborn babe."
[5F-12] "The Bard was neither particularly strong nor weak."
[60-12] "A strapping young man, the Bard possessed a great deal of strength... Physically if not morally."
[61-12] "Able to bend steel bars with his teeth and lift boulders over his head with ease... Well not really, but the Bard was very very strong."
[64-12] "Possessing little vitality, even a common cold was a very real threat to our sickly Hero."
[65-12] "The Bard was of average health and fitness."
[66-12] "A strong resistance to disease and injury served the Bard well on his dangerous journeys."
[67-12] "Much like an ox or any other large, smelly, mindless animal the Bard possessed a hardy constitution."
[68-12] "The Bard was so unlucky, black cats considered it an ill omen when he crossed their path."
[69-12] "The fates neither smiled nor frowned upon our hero."
[6A-12] "The Bard was very Lucky. How else could one explain how he managed to survive?"
[6B-12] "It seemed as if some higher power were looking after the Bard, granting him the best of luck in even the most dire situations. Damn."
[6C-12] "Whether it was tripping over his own feet or fumbling his bow while trying to equip it, the Bard was always good for a laugh."
[6D-12] "The Bard possessed an average amount of manual dexterity."
[6E-12] "The Bard's quick wit was matched by his equally quick hands."
[6F-12] "Nimble fingers and a steady eye made the Bard a deadly marksman."
[70-12] "Others tended to have a negative reaction to the Bard. I can't imagine why."
[71-12] "The Bard was no more charismatic than the average man."
[72-12] "The Bard had a certain aura about him that made others react in a positive manner... First impressions could indeed be deceiving."
[73-12] "A charming and slick veneer allowed the Bard to get into the good graces of many an unsuspecting person."
[74-12] "I'm not sure how someone with so little rhythm could lay claim to the title of \"bard\"."
[75-12] "The Bard had an average sense of rhythm, which is to say a poor amount for someone claiming to be a musician."
[76-12] "A good sense of rhythm and timing allowed the Bard to truely lay claim to his title."
[77-12] "Virtuoso was the only word to describe someone of the Bard's considerable musical talent."
[78-12] "Press [7D-00] to loot [3A-26]."
[79-12] "Half eaten Chosen One"
[7A-12] "Ex-Chosen One"
[7B-12] "The Chosen Corpse"
[83-12] "Volume"
[84-12] "New Tune"
[85-12] "Upgraded Tune"
[86-12] "Rat"
[87-12] "Vorpal Rat"
[88-12] "Mercenary"
[89-12] "Knight"
[8A-12] "Heroine"
[8B-12] "Brute"
[8C-12] "Crone"
[8D-12] "Enchantress"
[8E-12] "Bodyguard"
[8F-12] "Rogue"
[90-12] "Elemental"
[91-12] "Behemoth"
[92-12] "Thunder Spider"
[93-12] "Knocker"
[94-12] "Explorer"
[95-12] "Gouger"
[96-12] "Wisp"
[97-12] "OK"
[98-12] "Yes"
[99-12] "No"
[9A-12] "No memory card (8MB)(for PlayStation®2) inserted in MEMORY CARD slot 1.  At least 389KB of free space must be available to save game data."
[9B-12] "Memory card (8MB)(for PlayStation®2) in MEMORY CARD slot 1 is unformatted.  Do you want to format it?"
[9C-12] "There is insufficient space in the memory card (8MB)(for PlayStation®2) in MEMORY CARD slot 1.  To save the data, at least 389KB of free space must be available."
[9D-12] "Saved data already exists on the memory card (8MB)(for PlayStation®2) in MEMORY CARD slot 1.  Do you want to overwrite this data?"
[9E-12] "Save failed!"
[9F-12] "Load failed!"
[A0-12] "Memory card (8MB)(for PlayStation®2) in MEMORY CARD slot 1 is being formatted. Do not remove the memory card (8MB)(for PlayStation®2) or the controller, or reset/switch off the console."
