[01-00] "Here lies Erik the Viking, He fights in Valhalla now, Much to his liking."
[FB-09] "Beer beer beer tiddly beer beer beer.  A long time ago, way back in history, when all there was to drink was nothing but cups of tea, along came a man by the name of Charlie Mops, and he invented a wonderful drink and he made it out of hops.  Hey!  He must have been an admiral a sultan or a king, and to his praises we shall always sing.  Look what he has done for us he's filled us up with cheer! Lord bless Charlie Mops, the man who invented beer beer beer tiddly beer beer beer.  The Drunken Rat, the Aiken Drum, the Trowies Pub as well, one thing you can be sure of, it's Charlie's beer they sell.  So all ye lads and lasses at eleven O'clock ye stop.  For five short seconds, remember Charlie Mops.  One, two, three, four, five, ...  Hey!  He must have been an admiral a sultan or a king, and to his praises we shall always sing.  Look what he has done for us he's filled us up with cheer! Lord bless Charlie Mops, the man who invented beer beer beer tiddly beer beer beer.  A barrel of malt, a bushel of hops, you stir it around with a stick, the kind of lubrication to make your engines tick.  Forty pints of wallop a day will keep away the quacks.  It's only eight pence hapenny and one and six in tax.  One, two, three, four, five, ...  Hey!  He must have been an admiral a sultan or a king, and to his praises we shall always sing.  Look what he has done for us he's filled us up with cheer!  Lord bless Charlie Mops, the man who invented beer beer beer tiddly beer beer beer tiddly beer beer beer.  The Lord bless Charlie Mops!"
[06-0A] "AAAAHHHHHHHHAHHAHHH"
[0E-0A] "What are you doing!  Stop that right now! Why are you breaking my barrels?"
[0F-0A] "Well, I can't have you breaking those barrels, I haven't sold them yet.  I could however offer you some incentive to practice your hobby elsewhere."
[10-0A] "If that's your attitude then off with you! Come back when your in a better mood and maybe we can talk."
[11-0A] "The more broken barrels in the world, the more people need to buy my new ones. You just practice your hobby, and I'll pay you a bounty for every barrel you break."
[12-0A] "No catch, just keep smashing barrels and I'll start setting aside silver for you for every new barrel I sell to replace the ones you've broken.  Come back here any time and I'll make good on my promise."
[13-0A] "Well they do, It took me all day to make those. I don't mind if you break them after they're sold, but don't destroy my inventory before I've sold em!"
[14-0A] "It's a rude man you are! Come back when you're in a mood to be a bit more civil and we can talk."
[15-0A] "Fine with me, you just keep smashing barrels and I'll start setting aside silver for you for every new barrel I sell to replace the ones you've broken. Come back here any time and I'll make good on my promise and pay you what I owe."
[16-0A] "Look, if you aren't going to smash barrels, there's no reason to come back and talk to me. Get out there and earn some money!"
[17-0A] "You're really not very good at this are you?  Oh well, here's your cut."
[18-0A] "Business is picking up, and I'm sure I have you to thank. Here you go!"
[19-0A] "My business is so good I'm opening up a second shop in Dounby!  Thanks to you I'll be the richest man in town!  It was a pleasure doing business with you, maybe I'll see you again!"
[1A-0A] "What are you doing back here?  You owe me for the barrels you broke! If your in a mood to talk we can discuss a way for you to repay me."
[1B-0A] "If you want to get your money back, go and destroy the barrels I've already sold.  I'll set aside silver from every new barrel I sell to replace the ones you've broken. If my sales are good, we both stand to profit."
[1C-0A] "I look forward to a long and profitable relationship!  See you again soon."
[1D-0A] "Sorry, but breaking barrels is one of my hobbies."
[1E-0A] "I don't need any incentive, breaking barrels is just one of those things I enjoy. So back off before I forget the barrels and start on you."
[1F-0A] "Incentive? Now you're speaking my language!  What did you have in mind?"
[20-0A] "Sounds too easy, what's the catch?"
[21-0A] "Well, I don't know if I trust you, but since I plan on smashing barrels anyways it doesn't matter now does it. You've got a deal."
[22-0A] "I didn't know these belonged to anyone."
[23-0A] "I don't know how to break this to you, but you're a horrible barrel maker. One swing and they burst into a thousand pieces, I mean what kind of shoddy craftsmanship is that anyways?"
[24-0A] "Okay, I'll lay off these, but if I see a barrel somewhere else, I will, of course, be forced to destroy it."
[25-0A] "I won't hold my breath old man, but if I'm back in the area, I'll come look you up."
[26-0A] "I'm not in the mood to talk to a bloody incompetent Barrel maker such as yourself."
[27-0A] "Oh all right... Let's hear what you have to say."
[28-0A] "I like the way you think old man, it's dodgy business practices like yours that have made this land great.  I'll be happy to help out however I can."
[29-0A] "Sure, as soon as I hand over silver, everyone is my friend..."
[37-0A] "Who is she?  She's beautiful.  I'll take the amulet old man and what were you saying about a trow?"
[38-0A] "That remains to be seen. Out with it man, what do you want from me?"
[39-0A] "I thought so. What is it you want? Something dangerous no doubt?"
[3A-0A] "Ah hah I knew it was something like that! I'm not joining anything but I will take your advice and find this trow. Oh and I'll have that amulet as well if you're still offering it."
[3B-0A] "This amulet was made by a powerful sorceress, it can summon her spirit to heal yer wounds in battle. Ye'll need adderstones to provide the necessary mystical power, if you like you can even use multiple stones for even greater effect. Here laddie, try it out."
[3C-0A] "Ye wound me laddie."
[3D-0A] "Ye've got it all wrong. Look my boy...oh ok... I do want something from ya."
[3E-0A] "No no nothing like that. Ye see I belong to an ancient order, we've travelled the land for years now seeking men such as yerself to..."
[3F-0A] "O' course lad, of course. Here ye go and don't forget, the trow is in the Fairyhaunt woods, goes by the name of Bannafeet."
[40-0A] "Find him in the Fairyhaunt woods... Bannafeet be his name. He can teach ye magic enough to impress any lass."
[41-0A] "Slay me Bard and you'll never learn that magic you're after. Wouldn't you like a little something to even the odds when facing wily fellows like meself?"
[42-0A] "Sheriff Rucky keeps a jail in the forest.  Inside is a prisoner by the name of Ketill Swart. Spring him free for me and you'll get your song.  The good news is that there are no guards around.  The bad news is that they abandoned their posts to avoid a tribe of Kunal Trow that've claimed the building as their own.  Once you make it past their patrols you'll need to say \"fiddlesnarf\" at the door to be let in. When he's free, come back here and I'll teach you some magic. Fair enough?"
[43-0A] "What are you doing here when Ketill's still in jail!? Off with you!"
[44-0A] "Oh, thank you! I wagered Sheriff Rucky that Ketill wouldn't be locked up for more than a day, I sent the Kunal Trow to free him but they decided to take over the jail and claim it as their own. I thought for sure I'd lose but now you come along and win the bet for me! Well, a deal's a deal, so here's your song."
[45-0A] "HA HA HO HO HA HA HA  HO."
[46-0A] "Very funny, very funny.  Let me return the favor by throwing you in a hole... six feet deep!"
[47-0A] "I'll teach you some respect."
[48-0A] "I'm listening. For now."
[49-0A] "No not really but it's a start. I don't relish chasing you around this forest so I'll do what you ask... but you had better keep your end of the bargain or I'll make you wish you had."
[4A-0A] "When I asked you to free Ketill, this was not exactly what I meant."
[4B-0A] "Heh, well, I guess you do have a point there.  Are you sure you've not got a wee bit o' Trow in you?  With that attitude, we could be related."
[4C-0A] "Technically he's no longer in Jail. I did what you wanted... In a manner of speaking."
[65-0A] "What I'm looking for is at the bottom of a well huh? I'm going to make Bannafeet pay for this wild goose chase."
[67-0A] "I see ye've picked up some more magic along the way. If it's even more power ye'd like, then ye ought to pay a visit to my brother Bodb in Kirkwall."
[68-0A] "Oh no, he's not really my brother you see, but a member of my order."
[69-0A] "Now lad, ye've only benefited from the knowledge I've given ye in the past."
[6A-0A] "Seek out Bodb in Kirkwall, I'll speak no more of it, good luck to ya Laddie."
[6B-0A] "Yeah, yeah, yeah...oh yeah... I'm sure its all a big coincidence."
[6C-0A] "Your Brother eh? He anything like you?"
[6D-0A] "Of course he is."
[6E-0A] "That's what worries me."
[79-0A] "Ummm maybe we shouldn't aggravate him."
[7A-0A] "Damn! Well, Bannafeet has to admit Ketill's not in jail any longer."
[7B-0A] "So.... About the magic tune you owe me..."
[7C-0A] "Magic Tune!!?  You kill my friend Ketill, steal all the loot from his hide out, and still have the nerve to come back here and shake me down for the magic tune.  Are you SURE you are not part Trow?"
[7D-0A] "Loot from his hideout? What hideout?  No one mentioned nothing about a hideout."
[7E-0A] "You didn't... oh... never mind... well I really must rush away.  I know I owe you a song, I promise to pay up next time we meet.  I am just too overcome with grief for the loss of my friend Ketill. I'm sure his treasure... I mean his hideout will need some looking after. I really must be going..."
[7F-0A] "Hey! Damn I hate Trow. Well, since I can't follow him, I better figure out where Ketill's hideout is, in a hurry."
[A1-0A] "Kirkwall has been revealed on the World Map."
[A2-0A] "Neversdale has been revealed on the World Map."
[A4-0A] "Well look who it is. I've been waiting for you..."
[AB-0A] "Why you're the hero of Houton Bard! You chased off the Kunal Trow that had overrun the forest and done for that villain Ketill Swart as well!"
[AC-0A] "Reward? I'll just hang on to the reward money. I'm  glad Ketill is dead, but I still have to pay off my bet with that crafty trow.  That Ketill though, he was supposed to have stolen a great fortune, perhaps you could find it and take it for yerself. He made his hideout in the Forest of Neversdale, a dangerous place no doubt but no barrier to the likes of you I'm certain."
[AD-0A] "Yes, of course I am.  I knew that something had to be done to free the good people of Houton from the clutches of evil!  Now about my reward..."
[AE-0A] "Now about my reward..."
[AF-0A] "Reward? You're lucky I don't throw you in jail."
[B0-0A] "That's telling him Sheriff!"
[B1-0A] "Shut yer bloody gob!"
[B2-0A] "So no reward then?"
[B3-0A] "Out with you!"
[B4-0A] "Things have been quiet around here lately and we've got you to thank for it!"
[C9-0A] "Treasure Map"
[EB-0A] "All items priced as marked. No returns. All Sales are final."
[EC-0A] "Welcome back.  What can I do for you?"
[50-0B] "The Next Morning..."
[76-0B] "Before ye head down there and face that huge rat I'd  like to be sure that ye know yer business. Would ye like me to teach you a few wee things that'll help ye get the best o' any foes ye might encounter?"
[79-0B] "Ye've already proven that ye know how to move around and attack with yer weapon. Let's talk a wee bit about Jumpin'."
[7A-0B] "Press the [7C-00] button."
[7B-0B] "Press the [7E-00] button."
[7C-0B] "Press the [7D-00] button."
[7D-0B] "Press the [7B-00] button."
[7E-0B] "Press the Y button."
[7F-0B] "Press the A button."
[80-0B] "Press the B button."
[81-0B] "Good job lad! Ye already know how to attack but let's talk about defending yerself."
[82-0B] "That was great boyo, ye'll notice that instead o' holding down the button ye'll have to time yer defense to the enemy's attack."
[83-0B] "Now laddie let's teach ye how to play that lute of yers and make some magic."
[84-0B] "To play your lute first ye'll have to equip it."
[85-0B] "Hold down the L1 button."
[86-0B] "Press the L1 button."
[87-0B] "Hold down the L2 button."
[88-0B] "Press the L2 button."
[89-0B] "Hold down the R1 button."
[8A-0B] "Press the R1 button."
[8B-0B] "Hold down the R2 button."
[8C-0B] "Press the R2 button."
[8D-0B] "Press the left trigger."
[8E-0B] "Press the right trigger."
[8F-0B] "Ye'll notice several options... since you only have a lute ye'll select that for now."
[90-0B] "Now ye've got your lute equipped."
[91-0B] "Ye'll see several choices, these are the different types of beasties ye'll eventually be able to summon. For now let's summon that spider I taught ye about."
[92-0B] "That'll open up the menu displaying yer elemental beasties. Ye've only got one option now so select that one."
[93-0B] "This part is important so listen up laddie. The creatures that ye summon aren't under yer complete control but they will try to do what ye wish to the best o' their ability. Try to give 'em orders using the Directional Pad. For example press up to make your little friend there become more aggressive."
[94-0B] "Ah yer getting the hang o' things now aren't ya lad? Ye can experiment with different uses of the Directional Pad to develop yer own strategies. Now at times ye may want to get rid o' a creature ye've summoned."
[95-0B] "Simply go back into the same menu you summoned him from and select him again. That's the way to get rid of an unwanted creature."
[96-0B] "Good luck against that Rat my boy!"
[97-0B] "I know what I'm doing old man, I've no need for advice from the likes of you!"
[98-0B] "I think I'm going to regret this... but I'll humor you old man."
[99-0B] "Of course I know how to walk around... and jumping? I know how to jump!"
[9A-0B] "What? What are you on about? What button? You're completely insane aren't you? Ya know, I ran into this other guy once, he kept talking about mice that I couldn't see."
[9B-0B] "There... I jumped wasn't that amazing?"
[9C-0B] "Now I'm blocking pretend blows, I hope you appreciate what I'm going through here and reward me sufficiently."
[9D-0B] "Of course I have to time it... How else am I going to block anything?"
[9E-0B] "What? Does my name not mean anything to you? The Bard? Did you not see me summon that rat a few moments ago?"
[9F-0B] "You're not listening to a word I'm saying are you?"
[A0-0B] "Well that was useful at least. Finally."
[A1-0B] "Great... does that trick work on you as well?"
[A2-0B] "In the future I'm going to have to learn how to dodge these mysterious old man types."
[B1-0C] ""
[B2-0C] ""
[F2-0C] "Blessings upon you."
[F3-0C] "You've been good with your donations. I've a gift for you."
[F4-0C] "Welcome back. Care to make a donation?"
[6F-0E] "Welcome back. What can I get for you?"
[70-0E] "You've a fine eye to be sure. That's some of my own house vintage. It was a favorite of my dearly departed husband. I believe he even had a glass of it in hand when he passed away."
[71-0E] "We get that stuff in from Kirkwall, I hear the fella who brews it is some kind of a hero. Lost a few limbs and turned to brewing when he couldn't fight any longer."
[72-0E] "Quite strong drink you've got there. We import it from the quaint village of Stromness over on the western shores. I hear it's lovely there this time of year, perhaps you should go for a visit."
[73-0E] "Pig's Meade? Well if you've no money then I suppose you drink what you can. And here I thought you had a little more class than that."
[74-0E] "I hope I'll be seeing you around."
[75-0E] "It was a pleasure to serve you."
[76-0E] "I hope you enjoyed that."
[AF-0E] "The Bard having slain the random wolf found that it had digested not only the contents of a small treasury but also various household goods... wait am I reading that correctly? That can't be right."
[B0-0E] "You'd be surprised. I find all kinds of thing inside these beasties. Did I ever tell you about the time I killed this rat and out popped an entire chest..."
[B1-0E] "Well, I'm just going to skip those passages in the future."
[B2-0E] "What? That's a major source of income! You cheap, good for nothing horse's..."
[B3-0E] "*Ahem* And so the Bard continued on his journey..."
[42-12] "To show my good will I've even opened up a quick way back to town for ye, it's right over there."
[45-12] "... To use that artifact hold down R2 and then press the appropriate button."
[46-12] "... To use that artifact press R2 and then press the appropriate button."
[47-12] "... To use that artifact press R1 and then press the appropriate button."
[48-12] "... To use that artifact hold down R1 and then press the appropriate button."
[55-12] "And then the Bard looted the chest which contained the Widow's most precious... Wait a minute... Did I read that properly? You're stealing from her?"
[56-12] "I wouldn't call it stealing exactly... People leave all kinds of things in chests and they never seem to object when I help myself. Think of it as a public service, who knows how cluttered these chests might become if I didn't do my part to help clean them out."
[57-12] "In hindsight, I'm surprised it took the Bard this long to get his hands on Mary's Chest."
[62-12] "Hmmm... Let me think...no."
[63-12] "Hello traveller...could I interest you in any of my finely crafted barrels?  I have many models to choose from, all displayed attractively right outside my shop."
[81-12] "Press the black button."
[04-13] "This forest is a great place to hunt, it's teeming with grouse! If you haven't got a bow you should get yourself one and try your hand at hunting."
[06-13] "First Switch"
[07-13] "Second Switch"
[08-13] "Third Switch"
[25-13] "Hunter"
[82-13] "Press [7D-00] to select [02-26]."
[83-13] "Skip Tutorial"
[84-13] "Continue Tutorial"
[85-13] "The Bard was tempted to leave the strange old man and his explanations behind, but he knew that certain death waited for him if he did not know what he was doing."
[86-13] "Just turn around and listen to the old man."
[6D-14] "And then the Bard used his newly learned magical abilities to defeat the Giant Rat. Or at least that's what he should have done."
[73-14] "Apparantly the custom wherever the Bard came from was to walk into complete strangers houses uninvited."
[74-14] "The Bard emerged from the Jail dismayed to find that Ketill had run off."
[7A-14] "This part is important so listen up laddie. The creatures that ye summon aren't under yer complete control but they will try to do what ye wish to the best o' their ability. Try to give 'em orders using the Directional Buttons. For example press up to make your little friend there become more aggressive."
[7B-14] "Ah yer getting the hang o' things now aren't ya lad? Ye can experiment with different uses of the Directional Buttons to develop yer own strategies. Now at times ye may want to get rid o' a creature ye've summoned."
[7F-14] "Switch 1"
[80-14] "Switch 2"
[81-14] "Switch 3"
[82-14] "Press [7D-00] to ask about [02-26]."
[83-14] "Press [7D-00] to pull [02-26]."
[CA-14] ""
[CB-14] ""
[CC-14] ""
[CD-14] ""
[CE-14] ""
[CF-14] ""
[D0-14] ""
[0F-15] "The Bard couldn't get close enough to the monstrous rat to use his sword, perhaps a more magical solution would better serve."
[3F-15] ""
[90-15] "The Bard then headed to the Houton Forest to find the imprisoned Ketill Swart."
[91-15] "Although the Fairyhaunt was nice, the Bard needed to head towards the Houton Forest to locate Ketill Swart."
[92-15] "With Ketill dead the Bard headed back to Bannafeet hoping that the Trow would be forgiving of his minor error."
[CA-16] "Jump [7C-00]"
[CB-16] "Block [7B-00]"
[CC-16] "Activate Summon Menu [85-00]"
[CD-16] "Activate Summon Menu [86-00]"
[CE-16] "Activate Summon Menu [86-00]"
[CF-16] "Select Elemental Menu [7B-00]"
[D0-16] "Select Elemental Menu [7B-00]"
[D1-16] "Select Elemental Menu [7B-00]"
[D2-16] "Summon Spider [7D-00]"
[D3-16] "Summon Spider [7D-00]"
[D4-16] "Summon Spider [7D-00]"
[D5-16] "Dispel Spider [85-00] + [7B-00] , [85-00] + [7D-00]"
[D6-16] "DispelSpider [86-00] + [7B-00] , [86-00] + [7D-00]"
[D7-16] "Dispel Spider [86-00] - [7B-00] - [7D-00]"
[D8-16] "Command Summons to Attack [09-26]"
[1F-17] "Dispel Spider [85-00] , [7B-00] , [7D-00]"
[20-17] "Dispel Spider [86-00] , [7B-00] , [7D-00]"
[21-17] "Select Elemental Menu [85-00] + [7B-00]"
[22-17] "Summon Spider [85-00] + [7D-00]"
[23-17] "Select Elemental Menu [86-00] + [7B-00]"
[3C-17] "Activate Summon Menu [85-00]"
[3D-17] "Dispel Spider [85-00] - [7B-00] - [7D-00]"
[57-17] "Activate Summon Menu: [16-26]"
[58-17] "Select Elemental Menu: [1B-26]"
[59-17] "Summon Spider: [1A-26]"
[5A-17] "Command Summons to Attack: [17-26]"
[5B-17] "Dispel Spider: [16-26], [1B-26], [1A-26]"
[65-17] "Press the Jump key."
[66-17] "Press the Attack key."
[67-17] "Press the Action key."
[68-17] "Press the Defend key."
[69-17] "Press the Melee Weapon Menu key."
[6A-17] "Press the Special Weapon Menu key."
[6B-17] "Press the Summon Menu key."
[6C-17] "Press the Artifact Menu key."
[6D-17] "Press the Cancel key."
[6E-17] "This part is important so listen up laddie. The creatures that ye summon aren't under yer complete control but they will try to do what ye wish to the best o' their ability. Try to give 'em orders using the Command keys. For example press the Aggressive key to make your little friend there become more aggressive."
[6F-17] "Ah yer getting the hang o' things now aren't ya lad? Ye can experiment with different uses of the Command keys to develop yer own strategies. Now at times ye may want to get rid o' a creature ye've summoned."
[70-17] "Press the Jump button."
[71-17] "Press the Attack button."
[72-17] "Press the Action button."
[73-17] "Press the Defend button."
[74-17] "Press the Melee Weapon Menu button."
[75-17] "Press the Special Weapon Menu button."
[76-17] "Press the Summon Menu button."
[77-17] "Press the Artifact Menu button."
[78-17] "Press the Cancel button"
[79-17] "This part is important so listen up laddie. The creatures that ye summon aren't under yer complete control but they will try to do what ye wish to the best o' their ability. Try to give 'em orders using the Command buttons. For example press the Aggressive button to make your little friend there become more aggressive."
[7A-17] "Ah yer getting the hang o' things now aren't ya lad? Ye can experiment with different uses of the Command buttons to develop yer own strategies. Now at times ye may want to get rid o' a creature ye've summoned."
[93-17] "Press [7D-00] to select [02-26]."
[96-17] "Press [7D-00] to ask about [02-26]."
[97-17] "Press [7D-00] to pull [02-26]."
[A0-17] "What? What are you on about? What button? You're completely insane aren't you? Ya know, I ran into this other guy once, he kept talking about mice that I couldn't see."
[E8-17] "That was great boyo, ye'll notice that instead o' holding down the button ye'll have to time yer defense to the enemy's attack."
[F3-17] "Before ye head down there and face that huge rat I'd  like to be sure that ye know yer business."
[F4-17] "If it's yer skin that ye're worried about I've a wee trinket here that'll keep ye safe from harm.."
[F5-17] "I've found that mysterious strangers offering gifts usually lead to trouble."
[F6-17] "Show me what you've got."
[F7-17] "Who is she?  She's beautiful.  I'll take the amulet old man."
[F8-17] "Here laddie."
[F9-17] "Press the 1 key."
[FA-17] "Press the 2 key."
[FB-17] "Press the 3 key."
[FC-17] "Press the 4 key."
[FD-17] "Press the 1 button."
[FE-17] "Press the 2 button."
[FF-17] "Press the 3 button."
[00-18] "Press the 4 button."
[0D-18] "What? What are you on about? You're completely insane aren't you? Ya know, I ran into this other guy once, he kept talking about mice that I couldn't see."
[0E-18] "That was great boyo, ye'll notice that instead o' holding down the key, ye'll have to time yer defense to the enemy's attack."
[0F-18] "Hold down the Melee Weapon Menu button."
[10-18] "Hold down the Special Weapon Menu button."
[11-18] "Hold down the Summon Menu button."
[12-18] "Hold down the Artifact Menu button."
[58-18] "Block: [1D-26]"
[59-18] "Summon Elemental Spider: [1B-26], [1A-26]"
[E3-18] "Summon Elemental Spider: [7B-00], [7D-00]"
[E4-18] "Dispel Spider [86-00], [7B-00], [7D-00]"
